participant_id,state,urbanicity,parent_relationship,parent_education,hh_income,parent_ethnicity,parent_employment,hs_type,parenting_course,childdev_course,hs_parenting_support,hs_parenting_support_reason,hs_parenting_anti_reason,hs_childdev_support,hs_childdev_support_reason,hs_childdev_anti_reason,parenting_source,source_trusted,source_freq,parenting_attitude1,parenting_attitude2,parenting_attitude3,parenting_attitude4,parenting_attitude5,parenting_attitude6,parenting_attitude7,parenting_attitude8,parenting_attitude9,parenting_attitude10,parenting_attitude11,parenting_attitude12,parenting_attitude13,parenting_attitude14,parenting_attitude15,parenting_attitude16,parenting_attitude17,parenting_attitude18,parenting_attitude19,topics_important,topics_unimportant,teaching_parenting_importance,teaching_childdev_importance,parent_style_strict,parent_style_warmth,parent_style_negotiate,parent_style_permissive,parent_style_connection,parent_style_explainrules
P054,Georgia,Suburban,Father,Bachelor’s degree,"105,001 – 175,000 USD",Caucasian,Full-time job,Public,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Social media",AI (e.g. ChatGPT),AI (e.g. ChatGPT),Agree,Agree,Strongly disagree,Slightly agree,Disagree,Disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,Strongly agree,Slightly agree,Agree,Child social and emotional development (e.g. regulating emotions),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Very important,Very important,27,50,71,66,72,62
P055,California,Suburban,Father,Bachelor’s degree,"65,001 – 105,000 USD","Caucasian,Asian/Pacific Islander",Full-time job,"Public,Charter",Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My partner’s parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Books,Social media,Online discussion platform,Friends,Religious organizations",Friends,Friends,Agree,Agree,Disagree,Strongly agree,Strongly disagree,Slightly disagree,Agree,Agree,Slightly agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Child social and emotional development (e.g. regulating emotions),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Important,Very important,65,73,44,42,76,77
P056,Utah,Suburban,Father,Master’s degree,"More than 250,000 USD",Caucasian,Full-time job,"Public,Charter",No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Parenting newsletters/ subscription,Social media,Online discussion platform,Friends,School/Daycare",Pediatrician,Pediatrician,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Child physical development (e.g. body growth, motor skills, etc.)",Very important,Important,47,100,40,39,100,85
P057,Oregon,Urban,Mother,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,Full-time job,Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,High school students are mature enough to discuss parenting topics",,Yes,"Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),Pediatrician",Pediatrician,Pediatrician,Strongly agree,Agree,Disagree,Agree,Disagree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Slightly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parent/caregiver well-being (e.g. women’s well-being during pregnancy),Slightly important,Slightly important,60,100,10,50,100,50
P058,Rhode Island,Suburban,Father,Associate degree,"175,001 – 250,000 USD",Caucasian,Full-time job,Public,No,No,No,,"They are too young to be thinking about parenting,High school is not the right place to learn about parenting,Learning about parenting might encourage adolescents to have children before they would otherwise",Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),Pediatrician",Pediatrician,The internet (e.g. through a Google search),Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Disagree,Slightly agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Disagree,Slightly disagree,Slightly agree,Agree,Slightly agree,Disagree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parenting behaviors and approaches (e.g. parenting styles).,Slightly important,Slightly important,20,51,70,70,50,70
P059,Florida,Suburban,Father,Bachelor’s degree,"65,001 – 105,000 USD",Caucasian,Full-time job,Private,No,No,Yes,Understanding parenting helps high school students understand their own parents better,,Yes,"Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,Friends,My parents,My parents,Agree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Agree,Slightly agree,Agree,Child and family nutrition (e.g. how to provide proper nutrition),Child social and emotional development (e.g. regulating emotions),Important,Important,49,86,68,72,86,83
P060,Arizona,Suburban,Mother,Bachelor’s degree,"105,001 – 175,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Academic journals,Parenting newsletters/ subscription,Social media,Online discussion platform,Friends,Religious organizations,School/Daycare",Online discussion platform,Online discussion platform,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Child social and emotional development (e.g. regulating emotions),Parenting behaviors and approaches (e.g. parenting styles).,Extremely important,Extremely important,70,92,77,57,94,84
P061,California,Suburban,Mother,Bachelor’s degree,"175,001 – 250,000 USD",Caucasian,Stay at home parent,I do not have a child in high school,Yes,Yes,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Other (please specify):",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),Pediatrician,Books,Online discussion platform,Friends",My parents,Books,Agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Slightly agree,Strongly agree,Agree,Agree,Agree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Child social and emotional development (e.g. regulating emotions),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Slightly important,Very important,53,90,45,50,95,55
P062,Kansas,Suburban,Mother,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,Part-time job,Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),Friends,School/Daycare",My parents,My parents,Agree,Agree,Strongly disagree,Agree,Strongly disagree,Slightly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Parenting behaviors and approaches (e.g. parenting styles).,"Child language and cognitive development (e.g. learning, talking, reasoning)",Extremely important,Extremely important,60,60,63,51,71,58
P063,New Hampshire,Rural,Mother,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,"Part-time job,Stay at home parent",Public,Yes,Yes,No,,High school is not the right place to learn about parenting,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),Parenting newsletters/ subscription,Online discussion platform",Parenting newsletter/ subscription,Online discussion platform,Strongly agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Slightly disagree,Disagree,Slightly disagree,Disagree,Slightly agree,Slightly disagree,Disagree,"Child physical development (e.g. body growth, motor skills, etc.)","Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Slightly important,Slightly important,40,86,50,45,80,75
P064,New York,Suburban,Father,Associate degree,"105,001 – 175,000 USD",African-American,Full-time job,"Public,Charter",Yes,Yes,No,,"They are too young to be thinking about parenting,High school is not the right place to learn about parenting,Learning about parenting might encourage adolescents to have children before they would otherwise",Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids,Other (please specify):",,"My parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Friends",AI (e.g. ChatGPT),AI (e.g. ChatGPT),Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Parent-child relationships (e.g. how to build supportive relationships with a developing child),Not important,Slightly important,30,46,62,48,64,25
P065,Ohio,Suburban,Mother,High school diploma/GED,"35,000 – 65,000 USD",Caucasian,Full-time job,Public,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search)",My parents,My parents,Strongly agree,Strongly agree,Slightly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Slightly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Child physical development (e.g. body growth, motor skills, etc.)",Important,Important,59,100,68,51,100,75
P066,New Hampshire,Suburban,Father,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,Full-time job,Public,No,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Online discussion platform",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Strongly agree,Agree,Disagree,Strongly agree,Disagree,Slightly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Parenting behaviors and approaches (e.g. parenting styles).,Parent-child relationships (e.g. how to build supportive relationships with a developing child),Extremely important,Important,70,95,70,50,85,80
P067,Iowa,Suburban,Father,Bachelor’s degree,"175,001 – 250,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Pediatrician,Books,Academic journals,Friends",My parents,My parents,Agree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Child social and emotional development (e.g. regulating emotions),Parenting behaviors and approaches (e.g. parenting styles).,Important,Important,55,79,56,37,84,81
P068,Pennsylvania,Suburban,Father,Master’s degree,"105,001 – 175,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids,Other (please specify):",,"Internet search (e.g. through a Google search),Books,Parenting newsletters/ subscription,Online discussion platform,School/Daycare",Online discussion platform,Online discussion platform,Agree,Slightly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Slightly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Parent-child relationships (e.g. how to build supportive relationships with a developing child),Extremely important,Extremely important,50,80,60,50,78,90
P069,Washington,Suburban,Mother,Master’s degree,"105,001 – 175,000 USD",Caucasian,"Part-time job,Stay at home parent",Home School,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),Pediatrician,Books,Online discussion platform,Friends",Friends,Friends,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Slightly agree,Strongly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Child language and cognitive development (e.g. learning, talking, reasoning)",Very important,Important,13,100,79,73,100,93
P070,Arkansas,Rural,Father,Associate degree,"35,000 – 65,000 USD",Caucasian,Full-time job,Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Pediatrician,Friends,School/Daycare",My parents,My parents,Agree,Agree,Slightly disagree,Strongly agree,Disagree,Slightly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Extremely important,Very important,73,80,56,27,88,95
P071,North Carolina,Suburban,Mother,Bachelor’s degree,"35,000 – 65,000 USD",Caucasian,Unemployed,Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Parenting newsletters/ subscription,Online discussion platform,School/Daycare",School/Daycare,AI (e.g. ChatGPT),Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Child social and emotional development (e.g. regulating emotions),Parenting behaviors and approaches (e.g. parenting styles).,Very important,Very important,75,100,75,25,100,75
P072,Wisconsin,Suburban,Father,"Doctoral degree (e.g. MD, PhD, EdD) or Professional degree (e.g. JD)","105,001 – 175,000 USD",Hispanic/Latino,Full-time job,Home School,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),Books,Religious organizations",My parents,My parents,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Parenting behaviors and approaches (e.g. parenting styles).,"Child physical development (e.g. body growth, motor skills, etc.)",Extremely important,Extremely important,79,45,91,35,79,83
P073,Wisconsin,Rural,Father,Bachelor’s degree,"65,001 – 105,000 USD",Caucasian,Full-time job,Public,No,No,Yes,Everybody should know about parenting because it will help them become more responsible parents,,Yes,Everybody should know about how children grow and learn,,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician",Pediatrician,Pediatrician,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Parent/caregiver well-being (e.g. women’s well-being during pregnancy),Very important,Very important,75,50,25,25,50,50
P074,Illinois,Urban,Mother,Bachelor’s degree,"65,001 – 105,000 USD","African-American,Hispanic/Latino",Full-time job,Public,No,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Pediatrician,Books,Friends",My parents,Friends,Strongly agree,Agree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)",Child and family nutrition (e.g. how to provide proper nutrition),Extremely important,Slightly important,60,80,70,34,95,90
P075,North Carolina,Urban,Mother,Bachelor’s degree,"0 - 35,000 USD",Caucasian,Full-time job,Charter,No,No,No,,"High school is not the right place to learn about parenting,Learning about parenting might encourage adolescents to have children before they would otherwise",No,,High school is not the right place to learn about child development,"Internet search (e.g. through a Google search),Pediatrician,Books,Academic journals",Academic journals,The internet (e.g. through a Google search),Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Disagree,Disagree,Disagree,Slightly agree,Strongly disagree,Disagree,Child and family nutrition (e.g. how to provide proper nutrition),"Identifying health challenges (e.g. recognizing developmental issues, treating injury) with their children",Not important,Not important,25,78,83,75,72,92
P076,Connecticut,Suburban,Mother,High school diploma/GED,"105,001 – 175,000 USD",Caucasian,Stay at home parent,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Pediatrician,Online discussion platform,Friends,School/Daycare",My parents,My parents,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Slightly agree,Agree,Agree,Slightly agree,Agree,Slightly agree,"Child physical development (e.g. body growth, motor skills, etc.)",Parenting behaviors and approaches (e.g. parenting styles).,Slightly important,Important,27,100,87,41,100,89
P077,Maryland,Suburban,Mother,Master’s degree,"65,001 – 105,000 USD",African-American,Full-time job,Public,No,No,Yes,"Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,Internet search (e.g. through a Google search),Parenting newsletters/ subscription",My parents,My parents,Agree,Strongly agree,Strongly disagree,Agree,Agree,Slightly disagree,Agree,Agree,Strongly agree,Agree,Agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Strongly agree,Slightly agree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Slightly important,Slightly important,65,54,31,55,53,69
P078,Delaware,Suburban,Mother,Bachelor’s degree,"0 - 35,000 USD",Caucasian,Part-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics,Other (please specify):",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Books,Social media,Online discussion platform,Friends",Books,Friends,Agree,Agree,Strongly disagree,Agree,Slightly disagree,Strongly disagree,Slightly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,"Parenting resources (e.g. medical, legal, health support available for children and caregivers)","Child physical development (e.g. body growth, motor skills, etc.)",Important,Very important,11,77,74,75,88,94
P079,New York,Suburban,Father,Master’s degree,"175,001 – 250,000 USD",Caucasian,Full-time job,Public,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,Everybody should know about how children grow and learn,,"My parents,Academic journals,Parenting newsletters/ subscription,Friends",My parents,My parents,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Parent-child relationships (e.g. how to build supportive relationships with a developing child),"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Extremely important,Extremely important,100,100,100,100,100,100
P080,Massachusetts,Suburban,Mother,High school diploma/GED,"0 - 35,000 USD",Caucasian,Unemployed,Public,Yes,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics,Other (please specify):",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Social media,Friends",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Slightly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Relevant skills and knowledge to be ready to parent (e.g. financial stability, safe environment)","Identifying health challenges (e.g. recognizing developmental issues, treating injury) with their children",Extremely important,Extremely important,50,100,50,51,100,61
P081,Tennessee,Suburban,Mother,High school diploma/GED,"0 - 35,000 USD",African-American,Part-time job,Private,Yes,Yes,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Understanding parenting helps high school students understand their own parents better",,Yes,"Everybody should know about how children grow and learn,Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"Internet search (e.g. through a Google search),AI (e.g. ChatGPT),Books,Parenting newsletters/ subscription,Online discussion platform",Internet search (e.g. through a Google search),The internet (e.g. through a Google search),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Parenting behaviors and approaches (e.g. parenting styles).,"Parenting resources (e.g. medical, legal, health support available for children and caregivers)",Extremely important,Extremely important,100,100,100,100,100,100
P082,Texas,Urban,Mother,Associate degree,"35,000 – 65,000 USD",African-American,Full-time job,Public,No,No,Yes,"Understanding parenting helps high school students understand their own parents better,High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.)",,"Internet search (e.g. through a Google search),Books,Parenting newsletters/ subscription",Books,Parenting newsletter/subscription,Strongly agree,Strongly agree,Slightly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Parent/caregiver well-being (e.g. women’s well-being during pregnancy),"Child language and cognitive development (e.g. learning, talking, reasoning)",Extremely important,Very important,67,79,83,50,94,90
P083,Connecticut,Suburban,Mother,High school diploma/GED,"65,001 – 105,000 USD",Caucasian,Part-time job,Public,Yes,No,Yes,"Everybody should know about parenting because it will help them become more responsible parents,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),High school students are mature enough to discuss parenting topics",,Yes,"Everybody should know about how children grow and learn,Many high schoolers are already taking care of kids (babysitting, young siblings, teen parents, etc.),Understanding how children learn and grow prepares high school students for interactions (jobs, parenting, etc.) where they might care for younger kids",,"My parents,My partner’s parents,Internet search (e.g. through a Google search),Pediatrician,Books,Social media,Friends,School/Daycare",Books,Online discussion platform,Strongly agree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Agree,Agree,Agree,Agree,Slightly disagree,Agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,"Child language and cognitive development (e.g. learning, talking, reasoning)",Parenting behaviors and approaches (e.g. parenting styles).,Important,Important,16,100,86,78,99,100
